"Measurement","statistic","value","text"
"IVCi","N (excl. missing)","29","N (excl. missing):  29"
"IVCi","n increased","2","n increased:  2"
"IVCi","n decreased","22","n decreased:  22"
"IVCi","n no change","5","n no change:  5"
"IVCi","pre-venesection mean","0.9369","pre-venesection mean:  0.9369"
"IVCi","post-venesection mean","0.6879","post-venesection mean:  0.6879"
"IVCi","bias (absolute)","-2.490e-01 (-3.686e-01, -1.459e-01)","bias (absolute):  -2.490e-01 (-3.686e-01, -1.459e-01)"
"IVCi","bias (relative)","-37.3 (-60.4, -18.3)","bias (relative):  -37.3 (-60.4, -18.3)"
"IVCi","Correlation","0.777 ( 0.560, 0.929)","Correlation:  0.777 ( 0.560, 0.929)"
"IVCi","Coefficient of variation (CV)","-1.25 ( -1.72, -0.85)","Coefficient of variation (CV):  -1.25 ( -1.72, -0.85)"
"IVCi","inverse CV","-0.797 (-1.173, -0.583)","inverse CV:  -0.797 (-1.173, -0.583)"
"IVCi","log-odds","-1.695 (-2.909, -0.965)","log-odds:  -1.695 (-2.909, -0.965)"
"IVCi","limits of agreement (absolute)","(-0.8933,  0.3063)","limits of agreement (absolute):  (-0.8933,  0.3063)"
"IVCi","limits of agreement % (relative)","(-161.7,  65.1)","limits of agreement % (relative):  (-161.7,  65.1)"
"LIDCO CI","N (excl. missing)","37","N (excl. missing):  37"
"LIDCO CI","n increased","16","n increased:  16"
"LIDCO CI","n decreased","21","n decreased:  21"
"LIDCO CI","n no change","0","n no change:  0"
"LIDCO CI","pre-venesection mean","3.638","pre-venesection mean:  3.638"
"LIDCO CI","post-venesection mean","3.242","post-venesection mean:  3.242"
"LIDCO CI","bias (absolute)","-3.960e-01 (-7.350e-01, -9.100e-02)","bias (absolute):  -3.960e-01 (-7.350e-01, -9.100e-02)"
"LIDCO CI","bias (relative)","-11.9 (-20.6,  -3.4)","bias (relative):  -11.9 (-20.6,  -3.4)"
"LIDCO CI","Correlation","0.540 ( 0.400, 0.712)","Correlation:  0.540 ( 0.400, 0.712)"
"LIDCO CI","Coefficient of variation (CV)","-2.58 ( -8.53, -1.42)","Coefficient of variation (CV):  -2.58 ( -8.53, -1.42)"
"LIDCO CI","inverse CV","-0.388 (-0.683, -0.105)","inverse CV:  -0.388 (-0.683, -0.105)"
"LIDCO CI","log-odds","-0.272 (-0.993,  0.383)","log-odds:  -0.272 (-0.993,  0.383)"
"LIDCO CI","limits of agreement (absolute)","(-2.462,  1.456)","limits of agreement (absolute):  (-2.462,  1.456)"
"LIDCO CI","limits of agreement % (relative)","(-64.8,  40.0)","limits of agreement % (relative):  (-64.8,  40.0)"
"LIDCO CO","N (excl. missing)","37","N (excl. missing):  37"
"LIDCO CO","n increased","16","n increased:  16"
"LIDCO CO","n decreased","21","n decreased:  21"
"LIDCO CO","n no change","0","n no change:  0"
"LIDCO CO","pre-venesection mean","7.286","pre-venesection mean:  7.286"
"LIDCO CO","post-venesection mean","6.486","post-venesection mean:  6.486"
"LIDCO CO","bias (absolute)","-8.000e-01 (-1.435e+00, -1.970e-01)","bias (absolute):  -8.000e-01 (-1.435e+00, -1.970e-01)"
"LIDCO CO","bias (relative)","-11.9 (-20.8,  -3.2)","bias (relative):  -11.9 (-20.8,  -3.2)"
"LIDCO CO","Correlation","0.589 ( 0.431, 0.757)","Correlation:  0.589 ( 0.431, 0.757)"
"LIDCO CO","Coefficient of variation (CV)","-2.41 ( -7.60, -1.35)","Coefficient of variation (CV):  -2.41 ( -7.60, -1.35)"
"LIDCO CO","inverse CV","-0.415 (-0.725, -0.120)","inverse CV:  -0.415 (-0.725, -0.120)"
"LIDCO CO","log-odds","-0.272 (-0.993,  0.383)","log-odds:  -0.272 (-0.993,  0.383)"
"LIDCO CO","limits of agreement (absolute)","(-4.663,  2.867)","limits of agreement (absolute):  (-4.663,  2.867)"
"LIDCO CO","limits of agreement % (relative)","(-65.7,  41.0)","limits of agreement % (relative):  (-65.7,  41.0)"
"LIDCO PPV","N (excl. missing)","36","N (excl. missing):  36"
"LIDCO PPV","n increased","22","n increased:  22"
"LIDCO PPV","n decreased","12","n decreased:  12"
"LIDCO PPV","n no change","2","n no change:  2"
"LIDCO PPV","pre-venesection mean","13.7","pre-venesection mean:  13.7"
"LIDCO PPV","post-venesection mean","16.47","post-venesection mean:  16.47"
"LIDCO PPV","bias (absolute)"," 3.000e+00 ( 8.300e-01,  5.330e+00)","bias (absolute):   3.000e+00 ( 8.300e-01,  5.330e+00)"
"LIDCO PPV","bias (relative)"," 16.9 (  4.6,  29.6)","bias (relative):   16.9 (  4.6,  29.6)"
"LIDCO PPV","Correlation","0.500 (-0.079, 0.799)","Correlation:  0.500 (-0.079, 0.799)"
"LIDCO PPV","Coefficient of variation (CV)"," 2.31 (  1.33,  6.82)","Coefficient of variation (CV):   2.31 (  1.33,  6.82)"
"LIDCO PPV","inverse CV"," 0.434 ( 0.139,  0.747)","inverse CV:   0.434 ( 0.139,  0.747)"
"LIDCO PPV","log-odds"," 0.571 (-0.056,  1.335)","log-odds:   0.571 (-0.056,  1.335)"
"LIDCO PPV","limits of agreement (absolute)","(-10.00,  17.00)","limits of agreement (absolute):  (-10.00,  17.00)"
"LIDCO PPV","limits of agreement % (relative)","(-56.6,  93.5)","limits of agreement % (relative):  (-56.6,  93.5)"
"LIDCO SV","N (excl. missing)","37","N (excl. missing):  37"
"LIDCO SV","n increased","14","n increased:  14"
"LIDCO SV","n decreased","21","n decreased:  21"
"LIDCO SV","n no change","2","n no change:  2"
"LIDCO SV","pre-venesection mean","101.22","pre-venesection mean:  101.22"
"LIDCO SV","post-venesection mean","90.62","post-venesection mean:  90.62"
"LIDCO SV","bias (absolute)","-1.059e+01 (-1.946e+01, -2.320e+00)","bias (absolute):  -1.059e+01 (-1.946e+01, -2.320e+00)"
"LIDCO SV","bias (relative)","-10.6 (-19.9,  -1.8)","bias (relative):  -10.6 (-19.9,  -1.8)"
"LIDCO SV","Correlation","0.393 ( 0.116, 0.644)","Correlation:  0.393 ( 0.116, 0.644)"
"LIDCO SV","Coefficient of variation (CV)","-2.57 ( -8.99, -1.41)","Coefficient of variation (CV):  -2.57 ( -8.99, -1.41)"
"LIDCO SV","inverse CV","-0.390 (-0.693, -0.098)","inverse CV:  -0.390 (-0.693, -0.098)"
"LIDCO SV","log-odds","-0.383 (-1.063,  0.217)","log-odds:  -0.383 (-1.063,  0.217)"
"LIDCO SV","limits of agreement (absolute)","(-64.52,  39.71)","limits of agreement (absolute):  (-64.52,  39.71)"
"LIDCO SV","limits of agreement % (relative)","(-67.3,  43.1)","limits of agreement % (relative):  (-67.3,  43.1)"
"LIDCO SVI","N (excl. missing)","37","N (excl. missing):  37"
"LIDCO SVI","n increased","14","n increased:  14"
"LIDCO SVI","n decreased","21","n decreased:  21"
"LIDCO SVI","n no change","2","n no change:  2"
"LIDCO SVI","pre-venesection mean","50.33","pre-venesection mean:  50.33"
"LIDCO SVI","post-venesection mean","45.19","post-venesection mean:  45.19"
"LIDCO SVI","bias (absolute)","-5.140e+00 (-9.800e+00, -7.600e-01)","bias (absolute):  -5.140e+00 (-9.800e+00, -7.600e-01)"
"LIDCO SVI","bias (relative)","-10.6 (-19.9,  -1.8)","bias (relative):  -10.6 (-19.9,  -1.8)"
"LIDCO SVI","Correlation","0.229 (-0.057, 0.505)","Correlation:  0.229 (-0.057, 0.505)"
"LIDCO SVI","Coefficient of variation (CV)","-2.75 (-11.76, -1.44)","Coefficient of variation (CV):  -2.75 (-11.76, -1.44)"
"LIDCO SVI","inverse CV","-0.364 (-0.665, -0.062)","inverse CV:  -0.364 (-0.665, -0.062)"
"LIDCO SVI","log-odds","-0.383 (-1.063,  0.217)","log-odds:  -0.383 (-1.063,  0.217)"
"LIDCO SVI","limits of agreement (absolute)","(-33.48,  21.50)","limits of agreement (absolute):  (-33.48,  21.50)"
"LIDCO SVI","limits of agreement % (relative)","(-67.4,  43.3)","limits of agreement % (relative):  (-67.4,  43.3)"
"LIDCO SVV","N (excl. missing)","36","N (excl. missing):  36"
"LIDCO SVV","n increased","18","n increased:  18"
"LIDCO SVV","n decreased","13","n decreased:  13"
"LIDCO SVV","n no change","5","n no change:  5"
"LIDCO SVV","pre-venesection mean","15.95","pre-venesection mean:  15.95"
"LIDCO SVV","post-venesection mean","17.89","post-venesection mean:  17.89"
"LIDCO SVV","bias (absolute)"," 2.080e+00 (-1.700e-01,  4.560e+00)","bias (absolute):   2.080e+00 (-1.700e-01,  4.560e+00)"
"LIDCO SVV","bias (relative)"," 10.9 (  0.0,  22.2)","bias (relative):   10.9 (  0.0,  22.2)"
"LIDCO SVV","Correlation","0.304 (-0.041, 0.629)","Correlation:  0.304 (-0.041, 0.629)"
"LIDCO SVV","Coefficient of variation (CV)"," 3.55 ( -9.78, 22.72)","Coefficient of variation (CV):   3.55 ( -9.78, 22.72)"
"LIDCO SVV","inverse CV"," 0.282 (-0.030,  0.561)","inverse CV:   0.282 (-0.030,  0.561)"
"LIDCO SVV","log-odds"," 0.280 (-0.336,  0.956)","log-odds:   0.280 (-0.336,  0.956)"
"LIDCO SVV","limits of agreement (absolute)","(-11.42,  16.92)","limits of agreement (absolute):  (-11.42,  16.92)"
"LIDCO SVV","limits of agreement % (relative)","(-54.6,  78.5)","limits of agreement % (relative):  (-54.6,  78.5)"
"MAP","N (excl. missing)","40","N (excl. missing):  40"
"MAP","n increased","5","n increased:  5"
"MAP","n decreased","34","n decreased:  34"
"MAP","n no change","1","n no change:  1"
"MAP","pre-venesection mean","97.78","pre-venesection mean:  97.78"
"MAP","post-venesection mean","91.33","post-venesection mean:  91.33"
"MAP","bias (absolute)","-6.450e+00 (-8.550e+00, -4.150e+00)","bias (absolute):  -6.450e+00 (-8.550e+00, -4.150e+00)"
"MAP","bias (relative)"," -7.0 ( -9.2,  -4.7)","bias (relative):   -7.0 ( -9.2,  -4.7)"
"MAP","Correlation","0.766 ( 0.661, 0.865)","Correlation:  0.766 ( 0.661, 0.865)"
"MAP","Coefficient of variation (CV)","-1.10 ( -1.95, -0.67)","Coefficient of variation (CV):  -1.10 ( -1.95, -0.67)"
"MAP","inverse CV","-0.907 (-1.497, -0.514)","inverse CV:  -0.907 (-1.497, -0.514)"
"MAP","log-odds","-1.836 (-2.944, -1.099)","log-odds:  -1.836 (-2.944, -1.099)"
"MAP","limits of agreement (absolute)","(-19.73,  8.10)","limits of agreement (absolute):  (-19.73,  8.10)"
"MAP","limits of agreement % (relative)","(-20.5,  7.5)","limits of agreement % (relative):  (-20.5,  7.5)"
"PP","N (excl. missing)","40","N (excl. missing):  40"
"PP","n increased","10","n increased:  10"
"PP","n decreased","30","n decreased:  30"
"PP","n no change","0","n no change:  0"
"PP","pre-venesection mean","61.42","pre-venesection mean:  61.42"
"PP","post-venesection mean","54.08","post-venesection mean:  54.08"
"PP","bias (absolute)","-7.350e+00 (-1.115e+01, -3.700e+00)","bias (absolute):  -7.350e+00 (-1.115e+01, -3.700e+00)"
"PP","bias (relative)","-12.3 (-18.5,  -6.3)","bias (relative):  -12.3 (-18.5,  -6.3)"
"PP","Correlation","0.277 ( 0.018, 0.536)","Correlation:  0.277 ( 0.018, 0.536)"
"PP","Coefficient of variation (CV)","-1.66 ( -3.16, -1.04)","Coefficient of variation (CV):  -1.66 ( -3.16, -1.04)"
"PP","inverse CV","-0.603 (-0.960, -0.317)","inverse CV:  -0.603 (-0.960, -0.317)"
"PP","log-odds","-1.099 (-1.946, -0.405)","log-odds:  -1.099 (-1.946, -0.405)"
"PP","limits of agreement (absolute)","(-31.39,  15.73)","limits of agreement (absolute):  (-31.39,  15.73)"
"PP","limits of agreement % (relative)","(-51.5,  26.0)","limits of agreement % (relative):  (-51.5,  26.0)"
"Time to collapse","N (excl. missing)","22","N (excl. missing):  22"
"Time to collapse","n increased","2","n increased:  2"
"Time to collapse","n decreased","20","n decreased:  20"
"Time to collapse","n no change","0","n no change:  0"
"Time to collapse","pre-venesection mean","2.02","pre-venesection mean:  2.02"
"Time to collapse","post-venesection mean","1.267","post-venesection mean:  1.267"
"Time to collapse","bias (absolute)","-7.470e-01 (-1.155e+00, -3.820e-01)","bias (absolute):  -7.470e-01 (-1.155e+00, -3.820e-01)"
"Time to collapse","bias (relative)","-44.3 (-65.2, -23.6)","bias (relative):  -44.3 (-65.2, -23.6)"
"Time to collapse","Correlation","0.579 ( 0.217, 0.854)","Correlation:  0.579 ( 0.217, 0.854)"
"Time to collapse","Coefficient of variation (CV)","-1.28 ( -2.12, -0.81)","Coefficient of variation (CV):  -1.28 ( -2.12, -0.81)"
"Time to collapse","inverse CV","-0.784 (-1.238, -0.472)","inverse CV:  -0.784 (-1.238, -0.472)"
"Time to collapse","log-odds","-2.303 (  -Inf, -1.224)","log-odds:  -2.303 (  -Inf, -1.224)"
"Time to collapse","limits of agreement (absolute)","(-2.659,  0.963)","limits of agreement (absolute):  (-2.659,  0.963)"
"Time to collapse","limits of agreement % (relative)","(-142.4,  52.8)","limits of agreement % (relative):  (-142.4,  52.8)"
"USCOM CI","N (excl. missing)","37","N (excl. missing):  37"
"USCOM CI","n increased","14","n increased:  14"
"USCOM CI","n decreased","22","n decreased:  22"
"USCOM CI","n no change","1","n no change:  1"
"USCOM CI","pre-venesection mean","2.187","pre-venesection mean:  2.187"
"USCOM CI","post-venesection mean","2.075","post-venesection mean:  2.075"
"USCOM CI","bias (absolute)","-9.200e-02 (-2.270e-01,  4.900e-02)","bias (absolute):  -9.200e-02 (-2.270e-01,  4.900e-02)"
"USCOM CI","bias (relative)"," -5.6 (-12.3,   1.2)","bias (relative):   -5.6 (-12.3,   1.2)"
"USCOM CI","Correlation","0.844 ( 0.743, 0.918)","Correlation:  0.844 ( 0.743, 0.918)"
"USCOM CI","Coefficient of variation (CV)","-4.65 (-42.21, 32.64)","Coefficient of variation (CV):  -4.65 (-42.21, 32.64)"
"USCOM CI","inverse CV","-0.215 (-0.615,  0.107)","inverse CV:  -0.215 (-0.615,  0.107)"
"USCOM CI","log-odds","-0.439 (-1.135,  0.217)","log-odds:  -0.439 (-1.135,  0.217)"
"USCOM CI","limits of agreement (absolute)","(-0.909,  0.765)","limits of agreement (absolute):  (-0.909,  0.765)"
"USCOM CI","limits of agreement % (relative)","(-45.9,  36.3)","limits of agreement % (relative):  (-45.9,  36.3)"
"USCOM CO","N (excl. missing)","37","N (excl. missing):  37"
"USCOM CO","n increased","14","n increased:  14"
"USCOM CO","n decreased","22","n decreased:  22"
"USCOM CO","n no change","1","n no change:  1"
"USCOM CO","pre-venesection mean","4.353","pre-venesection mean:  4.353"
"USCOM CO","post-venesection mean","4.129","post-venesection mean:  4.129"
"USCOM CO","bias (absolute)","-1.760e-01 (-4.350e-01,  9.500e-02)","bias (absolute):  -1.760e-01 (-4.350e-01,  9.500e-02)"
"USCOM CO","bias (relative)"," -5.6 (-12.3,   1.0)","bias (relative):   -5.6 (-12.3,   1.0)"
"USCOM CO","Correlation","0.830 ( 0.709, 0.913)","Correlation:  0.830 ( 0.709, 0.913)"
"USCOM CO","Coefficient of variation (CV)","-4.85 (-50.96, 40.19)","Coefficient of variation (CV):  -4.85 (-50.96, 40.19)"
"USCOM CO","inverse CV","-0.206 (-0.603,  0.110)","inverse CV:  -0.206 (-0.603,  0.110)"
"USCOM CO","log-odds","-0.439 (-1.135,  0.217)","log-odds:  -0.439 (-1.135,  0.217)"
"USCOM CO","limits of agreement (absolute)","(-1.754,  1.468)","limits of agreement (absolute):  (-1.754,  1.468)"
"USCOM CO","limits of agreement % (relative)","(-45.9,  35.0)","limits of agreement % (relative):  (-45.9,  35.0)"
"USCOM SV","N (excl. missing)","37","N (excl. missing):  37"
"USCOM SV","n increased","11","n increased:  11"
"USCOM SV","n decreased","25","n decreased:  25"
"USCOM SV","n no change","1","n no change:  1"
"USCOM SV","pre-venesection mean","64.87","pre-venesection mean:  64.87"
"USCOM SV","post-venesection mean","60.66","post-venesection mean:  60.66"
"USCOM SV","bias (absolute)","-3.190e+00 (-6.700e+00,  5.100e-01)","bias (absolute):  -3.190e+00 (-6.700e+00,  5.100e-01)"
"USCOM SV","bias (relative)"," -6.6 (-13.1,   0.0)","bias (relative):   -6.6 (-13.1,   0.0)"
"USCOM SV","Correlation","0.851 ( 0.750, 0.924)","Correlation:  0.851 ( 0.750, 0.924)"
"USCOM SV","Coefficient of variation (CV)","-3.55 (-24.57, 19.52)","Coefficient of variation (CV):  -3.55 (-24.57, 19.52)"
"USCOM SV","inverse CV","-0.282 (-0.751,  0.040)","inverse CV:  -0.282 (-0.751,  0.040)"
"USCOM SV","log-odds","-0.796 (-1.642, -0.163)","log-odds:  -0.796 (-1.642, -0.163)"
"USCOM SV","limits of agreement (absolute)","(-24.56,  19.33)","limits of agreement (absolute):  (-24.56,  19.33)"
"USCOM SV","limits of agreement % (relative)","(-46.1,  33.3)","limits of agreement % (relative):  (-46.1,  33.3)"
"USCOM SVI","N (excl. missing)","37","N (excl. missing):  37"
"USCOM SVI","n increased","11","n increased:  11"
"USCOM SVI","n decreased","25","n decreased:  25"
"USCOM SVI","n no change","1","n no change:  1"
"USCOM SVI","pre-venesection mean","32.51","pre-venesection mean:  32.51"
"USCOM SVI","post-venesection mean","30.41","post-venesection mean:  30.41"
"USCOM SVI","bias (absolute)","-1.640e+00 (-3.380e+00,  1.800e-01)","bias (absolute):  -1.640e+00 (-3.380e+00,  1.800e-01)"
"USCOM SVI","bias (relative)"," -6.6 (-13.0,  -0.3)","bias (relative):   -6.6 (-13.0,  -0.3)"
"USCOM SVI","Correlation","0.855 ( 0.760, 0.927)","Correlation:  0.855 ( 0.760, 0.927)"
"USCOM SVI","Coefficient of variation (CV)","-3.47 (-28.41, 11.46)","Coefficient of variation (CV):  -3.47 (-28.41, 11.46)"
"USCOM SVI","inverse CV","-0.288 (-0.741,  0.028)","inverse CV:  -0.288 (-0.741,  0.028)"
"USCOM SVI","log-odds","-0.796 (-1.546, -0.163)","log-odds:  -0.796 (-1.546, -0.163)"
"USCOM SVI","limits of agreement (absolute)","(-12.22,  9.40)","limits of agreement (absolute):  (-12.22,  9.40)"
"USCOM SVI","limits of agreement % (relative)","(-45.2,  32.0)","limits of agreement % (relative):  (-45.2,  32.0)"
"VTI","N (excl. missing)","38","N (excl. missing):  38"
"VTI","n increased","8","n increased:  8"
"VTI","n decreased","30","n decreased:  30"
"VTI","n no change","0","n no change:  0"
"VTI","pre-venesection mean","21.865","pre-venesection mean:  21.865"
"VTI","post-venesection mean","20.34","post-venesection mean:  20.34"
"VTI","bias (absolute)","-1.472e+00 (-2.111e+00, -8.550e-01)","bias (absolute):  -1.472e+00 (-2.111e+00, -8.550e-01)"
"VTI","bias (relative)"," -7.3 (-10.5,  -4.3)","bias (relative):   -7.3 (-10.5,  -4.3)"
"VTI","Correlation","0.797 ( 0.648, 0.888)","Correlation:  0.797 ( 0.648, 0.888)"
"VTI","Coefficient of variation (CV)","-1.37 ( -2.23, -0.93)","Coefficient of variation (CV):  -1.37 ( -2.23, -0.93)"
"VTI","inverse CV","-0.731 (-1.081, -0.448)","inverse CV:  -0.731 (-1.081, -0.448)"
"VTI","log-odds","-1.322 (-2.140, -0.654)","log-odds:  -1.322 (-2.140, -0.654)"
"VTI","limits of agreement (absolute)","(-5.414,  2.330)","limits of agreement (absolute):  (-5.414,  2.330)"
"VTI","limits of agreement % (relative)","(-26.8,  11.6)","limits of agreement % (relative):  (-26.8,  11.6)"
